?baseClass	?baseLabel	?equivalentClass	?equivalentLabel
<http://purl.obolibrary.org/obo/HP_0100718>	"Uterine rupture"	<http://purl.obolibrary.org/obo/MP_0003571>	"uterus rupture"
<http://purl.obolibrary.org/obo/MP_0000333>	"decreased bone marrow cell number"	<http://purl.obolibrary.org/obo/MP_0013776>	"bone marrow failure"
<http://purl.obolibrary.org/obo/HP_0005528>	"Bone marrow hypocellularity"	<http://purl.obolibrary.org/obo/MP_0013776>	"bone marrow failure"
<http://purl.obolibrary.org/obo/HP_0012757>	"Abnormal neuron morphology"	<http://purl.obolibrary.org/obo/MP_0002882>	"abnormal neuron morphology"
<http://purl.obolibrary.org/obo/HP_0008163>	"Decreased circulating cortisol level"	<http://purl.obolibrary.org/obo/HP_0008220>	"Hypocortisolemia"
<http://purl.obolibrary.org/obo/HP_0000099>	"Glomerulonephritis"	<http://purl.obolibrary.org/obo/MP_0002743>	"glomerulonephritis"
<http://purl.obolibrary.org/obo/HP_0011869>	"Abnormal platelet function"	<http://purl.obolibrary.org/obo/MP_0005464>	"abnormal platelet physiology"
<http://purl.obolibrary.org/obo/HP_0005548>	"Megakaryocytopenia"	<http://purl.obolibrary.org/obo/MP_0008255>	"decreased megakaryocyte cell number"
<http://purl.obolibrary.org/obo/HP_0008216>	"Adrenal gland dysgenesis"	<http://purl.obolibrary.org/obo/HP_0011732>	"Abnormality of adrenal morphology"
<http://purl.obolibrary.org/obo/HP_0030261>	"Absent penis"	<http://purl.obolibrary.org/obo/MP_0011876>	"absent penis"
<http://purl.obolibrary.org/obo/HP_0012561>	"Unicuspid aortic valve"	<http://purl.obolibrary.org/obo/MP_0010596>	"unicuspid aortic valve"
<http://purl.obolibrary.org/obo/HP_0011115>	"Abnormality of chemokine secretion"	<http://purl.obolibrary.org/obo/MP_0008722>	"abnormal chemokine secretion"
<http://purl.obolibrary.org/obo/HP_0006682>	"Ventricular extrasystoles"	<http://purl.obolibrary.org/obo/MP_0009732>	"ventricular premature beat"
<http://purl.obolibrary.org/obo/HP_0005232>	"Pancreatic dysplasia"	<http://purl.obolibrary.org/obo/HP_0012090>	"Abnormality of pancreas morphology"
<http://purl.obolibrary.org/obo/HP_0005304>	"Hypoplastic pulmonary veins"	<http://purl.obolibrary.org/obo/MP_0010528>	"pulmonary vein hypoplasia"
<http://purl.obolibrary.org/obo/HP_0030360>	"Large cell lung carcinoma"	<http://purl.obolibrary.org/obo/MP_0008718>	"increased lung large cell carcinoma incidence"
<http://purl.obolibrary.org/obo/HP_0001367>	"Abnormal joint morphology"	<http://purl.obolibrary.org/obo/MP_0002932>	"abnormal joint morphology"
<http://purl.obolibrary.org/obo/HP_0001913>	"Granulocytopenia"	<http://purl.obolibrary.org/obo/HP_0012234>	"Agranulocytosis"
<http://purl.obolibrary.org/obo/HP_0100022>	"Abnormality of movement"	<http://purl.obolibrary.org/obo/MP_0001388>	"abnormal stationary movement"
<http://purl.obolibrary.org/obo/HP_0100018>	"Nuclear cataract"	<http://purl.obolibrary.org/obo/MP_0010254>	"nuclear cataracts"
<http://purl.obolibrary.org/obo/HP_0030333>	"Abnormal alpha-beta T cell morphology"	<http://purl.obolibrary.org/obo/MP_0012762>	"abnormal alpha-beta T cell morphology"
<http://purl.obolibrary.org/obo/HP_0001006>	"Hypotrichosis"	<http://purl.obolibrary.org/obo/HP_0002298>	"Absent hair"
<http://purl.obolibrary.org/obo/HP_0004337>	"Abnormality of amino acid metabolism"	<http://purl.obolibrary.org/obo/MP_0013242>	"abnormal amino acid metabolism"
<http://purl.obolibrary.org/obo/HP_0012503>	"Abnormality of the pituitary gland"	<http://purl.obolibrary.org/obo/MP_0000633>	"abnormal pituitary gland morphology"
<http://purl.obolibrary.org/obo/HP_0011068>	"Odontoma"	<http://purl.obolibrary.org/obo/MP_0010353>	"increased odontoma incidence"
<http://purl.obolibrary.org/obo/HP_0100614>	"Myositis"	<http://purl.obolibrary.org/obo/MP_0004510>	"myositis"
<http://purl.obolibrary.org/obo/HP_0002748>	"Rickets"	<http://purl.obolibrary.org/obo/MP_0003116>	"rickets"
<http://purl.obolibrary.org/obo/HP_0000078>	"Abnormality of the genital system"	<http://purl.obolibrary.org/obo/HP_0012243>	"Abnormal genital system morphology"
<http://purl.obolibrary.org/obo/HP_0040106>	"Morphological abnormality of the lateral semicircular canal"	<http://purl.obolibrary.org/obo/MP_0000037>	"abnormal lateral semicircular canal morphology"
<http://purl.obolibrary.org/obo/HP_0003982>	"Absent ulna"	<http://purl.obolibrary.org/obo/MP_0004360>	"absent ulna"
<http://purl.obolibrary.org/obo/HP_3000002>	"Abnormal inner ear epithelium morphology"	<http://purl.obolibrary.org/obo/MP_0003308>	"abnormal cochlear sensory epithelium morphology"
<http://purl.obolibrary.org/obo/HP_0003134>	"Abnormality of peripheral nerve conduction"	<http://purl.obolibrary.org/obo/HP_0040129>	"Abnormal nerve conduction velocity"
<http://purl.obolibrary.org/obo/HP_0012417>	"Hypocapnia"	<http://purl.obolibrary.org/obo/MP_0003032>	"hypocapnia"
<http://purl.obolibrary.org/obo/HP_0003077>	"Hyperlipidemia"	<http://purl.obolibrary.org/obo/MP_0001548>	"hyperlipidemia"
<http://purl.obolibrary.org/obo/HP_0001547>	"Abnormality of the rib cage"	<http://purl.obolibrary.org/obo/MP_0004624>	"abnormal thoracic cage morphology"
<http://purl.obolibrary.org/obo/HP_0001067>	"Neurofibromas"	<http://purl.obolibrary.org/obo/MP_0010314>	"increased neurofibroma incidence"
<http://purl.obolibrary.org/obo/HP_0000171>	"Microglossia"	<http://purl.obolibrary.org/obo/MP_0009904>	"tongue hypoplasia"
<http://purl.obolibrary.org/obo/HP_0008687>	"Hypoplasia of the prostate"	<http://purl.obolibrary.org/obo/MP_0005147>	"prostate gland hypoplasia"
<http://purl.obolibrary.org/obo/HP_0012303>	"Abnormality of the aortic arch"	<http://purl.obolibrary.org/obo/MP_0002672>	"abnormal pharyngeal arch artery morphology"
<http://purl.obolibrary.org/obo/HP_0012613>	"Increased urinary sulfate"	<http://purl.obolibrary.org/obo/MP_0009472>	"increased urine sulfate level"
<http://purl.obolibrary.org/obo/HP_0011942>	"Increased urinary sulfite"	<http://purl.obolibrary.org/obo/MP_0009472>	"increased urine sulfate level"
<http://purl.obolibrary.org/obo/HP_0002385>	"Paraparesis"	<http://purl.obolibrary.org/obo/MP_0009434>	"paraparesis"
<http://purl.obolibrary.org/obo/HP_0007340>	"Lower limb muscle weakness"	<http://purl.obolibrary.org/obo/MP_0009434>	"paraparesis"
<http://purl.obolibrary.org/obo/HP_0012205>	"Globozoospermia"	<http://purl.obolibrary.org/obo/MP_0002686>	"globozoospermia"
<http://purl.obolibrary.org/obo/HP_0012092>	"Abnormality of exocrine pancreas physiology"	<http://purl.obolibrary.org/obo/MP_0010148>	"abnormal exocrine pancreas physiology"
<http://purl.obolibrary.org/obo/HP_0000158>	"Macroglossia"	<http://purl.obolibrary.org/obo/MP_0009906>	"increased tongue size"
<http://purl.obolibrary.org/obo/HP_0100625>	"Enlarged thorax"	<http://purl.obolibrary.org/obo/MP_0001267>	"enlarged chest"
<http://purl.obolibrary.org/obo/HP_0001022>	"Albinism"	<http://purl.obolibrary.org/obo/HP_0007513>	"Generalized hypopigmentation"
<http://purl.obolibrary.org/obo/HP_0011273>	"Anisocytosis"	<http://purl.obolibrary.org/obo/MP_0002642>	"anisocytosis"
<http://purl.obolibrary.org/obo/HP_0001909>	"Leukemia"	<http://purl.obolibrary.org/obo/MP_0002026>	"increased leukemia incidence"
<http://purl.obolibrary.org/obo/HP_0000140>	"Abnormality of the menstrual cycle"	<http://purl.obolibrary.org/obo/MP_0003375>	"abnormal menstrual cycle"
<http://purl.obolibrary.org/obo/HP_0010493>	"Long metacarpals"	<http://purl.obolibrary.org/obo/MP_0004638>	"elongated metacarpal bones"
<http://purl.obolibrary.org/obo/HP_0002157>	"Azotemia"	<http://purl.obolibrary.org/obo/MP_0009644>	"uremia"
<http://purl.obolibrary.org/obo/HP_0004378>	"Abnormality of the anus"	<http://purl.obolibrary.org/obo/MP_0005034>	"abnormal anus morphology"
<http://purl.obolibrary.org/obo/HP_0002919>	"Ketonuria"	<http://purl.obolibrary.org/obo/MP_0002893>	"ketoaciduria"
<http://purl.obolibrary.org/obo/HP_0004961>	"Pulmonary artery sling"	<http://purl.obolibrary.org/obo/MP_0010467>	"pulmonary artery sling"
<http://purl.obolibrary.org/obo/HP_0011612>	"Interrupted aortic arch type A"	<http://purl.obolibrary.org/obo/MP_0011658>	"interrupted aortic arch, type a"
<http://purl.obolibrary.org/obo/HP_0012281>	"Chylous ascites"	<http://purl.obolibrary.org/obo/MP_0012080>	"chylous ascites"
<http://purl.obolibrary.org/obo/HP_0010296>	"Ankyloglossia"	<http://purl.obolibrary.org/obo/MP_0013264>	"tongue ankylosis"
<http://purl.obolibrary.org/obo/HP_0012115>	"Hepatitis"	<http://purl.obolibrary.org/obo/MP_0001860>	"liver inflammation"
<http://purl.obolibrary.org/obo/HP_0008188>	"Thyroid dysgenesis"	<http://purl.obolibrary.org/obo/HP_0011772>	"Abnormality of thyroid morphology"
<http://purl.obolibrary.org/obo/HP_0002719>	"Recurrent infections"	<http://purl.obolibrary.org/obo/MP_0002406>	"increased susceptibility to infection"
<http://purl.obolibrary.org/obo/HP_0012112>	"Abnormality of circulating corticosterone level"	<http://purl.obolibrary.org/obo/MP_0005345>	"abnormal circulating corticosterone level"
<http://purl.obolibrary.org/obo/HP_0001762>	"Talipes equinovarus"	<http://purl.obolibrary.org/obo/MP_0000576>	"clubfoot"
<http://purl.obolibrary.org/obo/HP_0001883>	"Talipes"	<http://purl.obolibrary.org/obo/MP_0000576>	"clubfoot"
<http://purl.obolibrary.org/obo/HP_0012334>	"Extrahepatic cholestasis"	<http://purl.obolibrary.org/obo/MP_0005414>	"extrahepatic cholestasis"
<http://purl.obolibrary.org/obo/HP_0010297>	"Bifid tongue"	<http://purl.obolibrary.org/obo/MP_0009909>	"bifid tongue"
<http://purl.obolibrary.org/obo/HP_0001004>	"Lymphedema"	<http://purl.obolibrary.org/obo/MP_0003390>	"lymphedema"
<http://purl.obolibrary.org/obo/HP_0040162>	"Orthokeratosis"	<http://purl.obolibrary.org/obo/MP_0009675>	"orthokeratosis"
<http://purl.obolibrary.org/obo/MP_0002432>	"abnormal CD4-positive, alpha beta T cell morphology"	<http://purl.obolibrary.org/obo/MP_0008075>	"decreased CD4-positive, alpha beta T cell number"
<http://purl.obolibrary.org/obo/MP_0008073>	"abnormal CD4-positive, alpha beta T cell number"	<http://purl.obolibrary.org/obo/MP_0008075>	"decreased CD4-positive, alpha beta T cell number"
<http://purl.obolibrary.org/obo/HP_0005407>	"Decreased number of CD4+ T cells"	<http://purl.obolibrary.org/obo/MP_0008075>	"decreased CD4-positive, alpha beta T cell number"
<http://purl.obolibrary.org/obo/HP_0011372>	"Aplasia of the inner ear"	<http://purl.obolibrary.org/obo/MP_0006285>	"absent inner ear"
<http://purl.obolibrary.org/obo/HP_0002208>	"Coarse hair"	<http://purl.obolibrary.org/obo/MP_0002832>	"coarse hair"
<http://purl.obolibrary.org/obo/HP_0002269>	"Abnormality of neuronal migration"	<http://purl.obolibrary.org/obo/MP_0006009>	"abnormal neuronal migration"
<http://purl.obolibrary.org/obo/HP_0100731>	"Transverse facial cleft"	<http://purl.obolibrary.org/obo/MP_0008798>	"lateral facial cleft"
<http://purl.obolibrary.org/obo/HP_0001311>	"Abnormal nervous system electrophysiology"	<http://purl.obolibrary.org/obo/MP_0002272>	"abnormal nervous system electrophysiology"
<http://purl.obolibrary.org/obo/HP_0005214>	"Intestinal obstruction"	<http://purl.obolibrary.org/obo/MP_0003270>	"intestinal obstruction"
<http://purl.obolibrary.org/obo/HP_0011877>	"Increased mean platelet volume"	<http://purl.obolibrary.org/obo/MP_0002599>	"increased mean platelet volume"
<http://purl.obolibrary.org/obo/HP_0002446>	"Astrocytosis"	<http://purl.obolibrary.org/obo/MP_0003354>	"astrocytosis"
<http://purl.obolibrary.org/obo/HP_0012304>	"Hypoplastic aortic arch"	<http://purl.obolibrary.org/obo/MP_0010485>	"aortic arch hypoplasia"
<http://purl.obolibrary.org/obo/HP_0011567>	"Sinus venosus atrial septal defect"	<http://purl.obolibrary.org/obo/MP_0010408>	"sinus venosus atrial septal defect"
<http://purl.obolibrary.org/obo/HP_0001657>	"Prolonged QT interval"	<http://purl.obolibrary.org/obo/MP_0003233>	"prolonged QT interval"
<http://purl.obolibrary.org/obo/HP_0001978>	"Extramedullary hematopoiesis"	<http://purl.obolibrary.org/obo/MP_0000240>	"extramedullary hematopoiesis"
<http://purl.obolibrary.org/obo/HP_0009916>	"Anisocoria"	<http://purl.obolibrary.org/obo/MP_0006240>	"anisocoria"
<http://purl.obolibrary.org/obo/HP_0004935>	"Pulmonary artery atresia"	<http://purl.obolibrary.org/obo/HP_0010882>	"Pulmonary valve atresia"
<http://purl.obolibrary.org/obo/HP_0004960>	"Absent pulmonary artery"	<http://purl.obolibrary.org/obo/HP_0010882>	"Pulmonary valve atresia"
<http://purl.obolibrary.org/obo/HP_0011031>	"Abnormality of iron homeostasis"	<http://purl.obolibrary.org/obo/MP_0005637>	"abnormal iron homeostasis"
<http://purl.obolibrary.org/obo/HP_0030304>	"Abnormal number of vertebrae"	<http://purl.obolibrary.org/obo/MP_0004643>	"abnormal vertebrae number"
<http://purl.obolibrary.org/obo/HP_0005273>	"Absent nasal septal cartilage"	<http://purl.obolibrary.org/obo/MP_0004872>	"absent nasal septum"
<http://purl.obolibrary.org/obo/HP_0010627>	"Anterior pituitary hypoplasia"	<http://purl.obolibrary.org/obo/MP_0008365>	"adenohypophysis hypoplasia"
<http://purl.obolibrary.org/obo/MP_0002659>	"pituitary gland hypoplasia"	<http://purl.obolibrary.org/obo/MP_0008365>	"adenohypophysis hypoplasia"
<http://purl.obolibrary.org/obo/HP_0001562>	"Oligohydramnios"	<http://purl.obolibrary.org/obo/MP_0012171>	"oligohydramnios"
<http://purl.obolibrary.org/obo/HP_0006771>	"Duodenal adenocarcinoma"	<http://purl.obolibrary.org/obo/MP_0009311>	"increased duodenum adenocarcinoma incidence"
<http://purl.obolibrary.org/obo/HP_0002304>	"Akinesia"	<http://purl.obolibrary.org/obo/MP_0002690>	"akinesia"
<http://purl.obolibrary.org/obo/HP_0001332>	"Dystonia"	<http://purl.obolibrary.org/obo/MP_0005323>	"dystonia"
<http://purl.obolibrary.org/obo/HP_0002170>	"Intracranial hemorrhage"	<http://purl.obolibrary.org/obo/MP_0001915>	"intracranial hemorrhage"
<http://purl.obolibrary.org/obo/HP_0002018>	"Nausea"	<http://purl.obolibrary.org/obo/MP_0003259>	"nausea"
<http://purl.obolibrary.org/obo/HP_0012091>	"Abnormality of pancreas physiology"	<http://purl.obolibrary.org/obo/MP_0002693>	"abnormal pancreas physiology"
<http://purl.obolibrary.org/obo/HP_0005922>	"Abnormal hand morphology"	<http://purl.obolibrary.org/obo/MP_0000572>	"abnormal autopod morphology"
<http://purl.obolibrary.org/obo/HP_0009922>	"Vascular remnant arising from the disc"	<http://purl.obolibrary.org/obo/MP_0012538>	"persistent hyaloid artery"
<http://purl.obolibrary.org/obo/HP_0000003>	"Multicystic kidney dysplasia"	<http://purl.obolibrary.org/obo/HP_0000113>	"Polycystic kidney dysplasia"
<http://purl.obolibrary.org/obo/HP_0012248>	"Prolonged PR interval"	<http://purl.obolibrary.org/obo/MP_0003896>	"prolonged PR interval"
<http://purl.obolibrary.org/obo/HP_0001363>	"Craniosynostosis"	<http://purl.obolibrary.org/obo/MP_0000081>	"premature suture closure"
<http://purl.obolibrary.org/obo/HP_0005365>	"Severe B lymphocytopenia"	<http://purl.obolibrary.org/obo/MP_0008071>	"absent B cells"
<http://purl.obolibrary.org/obo/MP_0000702>	"enlarged lymph nodes"	<http://purl.obolibrary.org/obo/MP_0004106>	"lymphatic vessel hyperplasia"
<http://purl.obolibrary.org/obo/HP_0002716>	"Lymphadenopathy"	<http://purl.obolibrary.org/obo/MP_0004106>	"lymphatic vessel hyperplasia"
<http://purl.obolibrary.org/obo/HP_0000103>	"Polyuria"	<http://purl.obolibrary.org/obo/MP_0001762>	"polyuria"
<http://purl.obolibrary.org/obo/HP_0003196>	"Short nose"	<http://purl.obolibrary.org/obo/MP_0000445>	"short snout"
<http://purl.obolibrary.org/obo/HP_0008428>	"Vertebral clefting"	<http://purl.obolibrary.org/obo/MP_0004687>	"split vertebrae"
<http://purl.obolibrary.org/obo/HP_0012384>	"Rhinitis"	<http://purl.obolibrary.org/obo/MP_0001867>	"rhinitis"
<http://purl.obolibrary.org/obo/HP_0002671>	"Basal cell carcinoma"	<http://purl.obolibrary.org/obo/MP_0004208>	"increased basal cell carcinoma incidence"
<http://purl.obolibrary.org/obo/HP_0012100>	"Abnormal circulating creatinine level"	<http://purl.obolibrary.org/obo/MP_0005328>	"abnormal circulating creatinine level"
<http://purl.obolibrary.org/obo/HP_0000104>	"Renal agenesis"	<http://purl.obolibrary.org/obo/MP_0000520>	"absent kidney"
<http://purl.obolibrary.org/obo/HP_0010958>	"Bilateral renal agenesis"	<http://purl.obolibrary.org/obo/MP_0000520>	"absent kidney"
<http://purl.obolibrary.org/obo/HP_0000478>	"Abnormality of the eye"	<http://purl.obolibrary.org/obo/MP_0002092>	"abnormal eye morphology"
<http://purl.obolibrary.org/obo/HP_0012372>	"Abnormal eye morphology"	<http://purl.obolibrary.org/obo/MP_0002092>	"abnormal eye morphology"
<http://purl.obolibrary.org/obo/HP_0000735>	"Impaired social interactions"	<http://purl.obolibrary.org/obo/MP_0002557>	"abnormal social/conspecific interaction"
<http://purl.obolibrary.org/obo/HP_0012433>	"Abnormal social behavior"	<http://purl.obolibrary.org/obo/MP_0002557>	"abnormal social/conspecific interaction"
<http://purl.obolibrary.org/obo/HP_0003540>	"Impaired platelet aggregation"	<http://purl.obolibrary.org/obo/HP_0030402>	"Abnormal platelet aggregation"
<http://purl.obolibrary.org/obo/HP_0002032>	"Esophageal atresia"	<http://purl.obolibrary.org/obo/MP_0003276>	"esophageal atresia"
<http://purl.obolibrary.org/obo/HP_0000138>	"Ovarian cyst"	<http://purl.obolibrary.org/obo/MP_0002016>	"ovary cysts"
<http://purl.obolibrary.org/obo/HP_0011280>	"Abnormality of urine calcium concentration"	<http://purl.obolibrary.org/obo/MP_0002985>	"abnormal urine calcium level"
<http://purl.obolibrary.org/obo/MP_0004739>	"conductive hearing loss"	<http://purl.obolibrary.org/obo/MP_0006326>	"conductive hearing impairment"
<http://purl.obolibrary.org/obo/HP_0000405>	"Conductive hearing impairment"	<http://purl.obolibrary.org/obo/MP_0006326>	"conductive hearing impairment"
<http://purl.obolibrary.org/obo/HP_0007957>	"Corneal opacity"	<http://purl.obolibrary.org/obo/MP_0001314>	"corneal opacity"
<http://purl.obolibrary.org/obo/HP_0012601>	"Hypochloriduria"	<http://purl.obolibrary.org/obo/MP_0011460>	"decreased urine chloride ion level"
<http://purl.obolibrary.org/obo/MP_0003054>	"spina bifida"	<http://purl.obolibrary.org/obo/MP_0003720>	"abnormal neural tube closure"
<http://purl.obolibrary.org/obo/HP_0045005>	"Neural tube defect"	<http://purl.obolibrary.org/obo/MP_0003720>	"abnormal neural tube closure"
<http://purl.obolibrary.org/obo/HP_0002414>	"Spina bifida"	<http://purl.obolibrary.org/obo/MP_0003720>	"abnormal neural tube closure"
<http://purl.obolibrary.org/obo/HP_0010301>	"Spinal dysraphism"	<http://purl.obolibrary.org/obo/MP_0003720>	"abnormal neural tube closure"
<http://purl.obolibrary.org/obo/MP_0002151>	"abnormal neural tube morphology"	<http://purl.obolibrary.org/obo/MP_0003720>	"abnormal neural tube closure"
<http://purl.obolibrary.org/obo/MP_0000929>	"open neural tube"	<http://purl.obolibrary.org/obo/MP_0003720>	"abnormal neural tube closure"
<http://purl.obolibrary.org/obo/HP_0002861>	"Melanoma"	<http://purl.obolibrary.org/obo/MP_0010275>	"increased melanoma incidence"
<http://purl.obolibrary.org/obo/HP_0003750>	"Increased muscle fatiguability"	<http://purl.obolibrary.org/obo/MP_0003646>	"muscle fatigue"
<http://purl.obolibrary.org/obo/HP_0008277>	"Abnormality of zinc homeostasis"	<http://purl.obolibrary.org/obo/MP_0009615>	"abnormal zinc homeostasis"
<http://purl.obolibrary.org/obo/HP_0002021>	"Pyloric stenosis"	<http://purl.obolibrary.org/obo/MP_0003307>	"pyloric stenosis"
<http://purl.obolibrary.org/obo/HP_0002666>	"Pheochromocytoma"	<http://purl.obolibrary.org/obo/MP_0002050>	"increased pheochromocytoma incidence"
<http://purl.obolibrary.org/obo/HP_0010290>	"Short hard palate"	<http://purl.obolibrary.org/obo/MP_0003760>	"decreased palatal length"
<http://purl.obolibrary.org/obo/HP_0010310>	"Chylothorax"	<http://purl.obolibrary.org/obo/MP_0003660>	"chylothorax"
<http://purl.obolibrary.org/obo/HP_0030326>	"Abnormal macrophage count"	<http://purl.obolibrary.org/obo/MP_0020202>	"abnormal macrophage cell number"
<http://purl.obolibrary.org/obo/MP_0004983>	"abnormal osteoclast cell number"	<http://purl.obolibrary.org/obo/MP_0020202>	"abnormal macrophage cell number"
<http://purl.obolibrary.org/obo/HP_0040064>	"Abnormality of limbs"	<http://purl.obolibrary.org/obo/HP_0040068>	"Abnormality of limb bone"
<http://purl.obolibrary.org/obo/HP_0002813>	"Abnormality of limb bone morphology"	<http://purl.obolibrary.org/obo/HP_0040068>	"Abnormality of limb bone"
<http://purl.obolibrary.org/obo/HP_0000347>	"Micrognathia"	<http://purl.obolibrary.org/obo/HP_0009118>	"Aplasia/Hypoplasia of the mandible"
<http://purl.obolibrary.org/obo/HP_0000526>	"Aniridia"	<http://purl.obolibrary.org/obo/MP_0005261>	"aniridia"
<http://purl.obolibrary.org/obo/HP_0004871>	"Perineal fistula"	<http://purl.obolibrary.org/obo/MP_0003316>	"perineal fistula"
<http://purl.obolibrary.org/obo/HP_0001336>	"Myoclonus"	<http://purl.obolibrary.org/obo/MP_0000243>	"myoclonus"
<http://purl.obolibrary.org/obo/HP_0012365>	"Hypophosphaturia"	<http://purl.obolibrary.org/obo/MP_0002901>	"increased urine phosphate level"
<http://purl.obolibrary.org/obo/HP_0003109>	"Hyperphosphaturia"	<http://purl.obolibrary.org/obo/MP_0002901>	"increased urine phosphate level"
<http://purl.obolibrary.org/obo/HP_0008066>	"Abnormal blistering of the skin"	<http://purl.obolibrary.org/obo/HP_0200037>	"Skin vesicle"
<http://purl.obolibrary.org/obo/HP_0002048>	"Renal cortical atrophy"	<http://purl.obolibrary.org/obo/MP_0011423>	"kidney cortex atrophy"
<http://purl.obolibrary.org/obo/HP_0011555>	"Double inlet left ventricle"	<http://purl.obolibrary.org/obo/MP_0010433>	"double inlet heart left ventricle"
<http://purl.obolibrary.org/obo/HP_0012133>	"Erythroid hypoplasia"	<http://purl.obolibrary.org/obo/MP_0008973>	"decreased erythroid progenitor cell number"
<http://purl.obolibrary.org/obo/HP_0002094>	"Dyspnea"	<http://purl.obolibrary.org/obo/MP_0001954>	"respiratory distress"
<http://purl.obolibrary.org/obo/HP_0002098>	"Respiratory distress"	<http://purl.obolibrary.org/obo/MP_0001954>	"respiratory distress"
<http://purl.obolibrary.org/obo/MP_0013830>	"abnormal intrathoracic topology of vagus nerve"	<http://purl.obolibrary.org/obo/MP_0013837>	"abnormal vagus nerve topology"
<http://purl.obolibrary.org/obo/HP_0100577>	"Urinary bladder inflammation"	<http://purl.obolibrary.org/obo/MP_0009646>	"urinary bladder inflammation"
<http://purl.obolibrary.org/obo/HP_0002980>	"Femoral bowing"	<http://purl.obolibrary.org/obo/MP_0004371>	"bowed femur"
<http://purl.obolibrary.org/obo/HP_0030075>	"Ductal carcinoma in situ"	<http://purl.obolibrary.org/obo/MP_0009508>	"increased mammary gland ductal carcinoma incidence"
<http://purl.obolibrary.org/obo/HP_0001059>	"Pterygium"	<http://purl.obolibrary.org/obo/MP_0003664>	"ocular pterygium"
<http://purl.obolibrary.org/obo/HP_0000520>	"Proptosis"	<http://purl.obolibrary.org/obo/MP_0002750>	"exophthalmos"
<http://purl.obolibrary.org/obo/HP_0002835>	"Aspiration"	<http://purl.obolibrary.org/obo/MP_0002296>	"aspiration"
<http://purl.obolibrary.org/obo/HP_0002305>	"Athetosis"	<http://purl.obolibrary.org/obo/MP_0001527>	"athetotic walking movements"
<http://purl.obolibrary.org/obo/HP_0002707>	"Palate telangiectasia"	<http://purl.obolibrary.org/obo/MP_0003768>	"palatal telangiectases"
<http://purl.obolibrary.org/obo/HP_0011037>	"Decreased urine output"	<http://purl.obolibrary.org/obo/HP_0100520>	"Oliguria"
<http://purl.obolibrary.org/obo/HP_0011804>	"Abnormality of muscle physiology"	<http://purl.obolibrary.org/obo/MP_0002106>	"abnormal muscle physiology"
<http://purl.obolibrary.org/obo/HP_0011842>	"Abnormality of skeletal morphology"	<http://purl.obolibrary.org/obo/MP_0005508>	"abnormal skeleton morphology"
<http://purl.obolibrary.org/obo/HP_0030313>	"Abnormal periosteum morphology"	<http://purl.obolibrary.org/obo/MP_0010971>	"abnormal periosteum morphology"
<http://purl.obolibrary.org/obo/HP_0012649>	"Increased inflammatory response"	<http://purl.obolibrary.org/obo/MP_0001846>	"increased inflammatory response"
<http://purl.obolibrary.org/obo/HP_0004323>	"Abnormality of body weight"	<http://purl.obolibrary.org/obo/MP_0001259>	"abnormal body weight"
<http://purl.obolibrary.org/obo/HP_0011616>	"Pulmonary situs inversus"	<http://purl.obolibrary.org/obo/MP_0010854>	"lung situs inversus"
<http://purl.obolibrary.org/obo/HP_0003537>	"Hypouricemia"	<http://purl.obolibrary.org/obo/MP_0008822>	"decreased blood uric acid level"
<http://purl.obolibrary.org/obo/HP_0100520>	"Oliguria"	<http://purl.obolibrary.org/obo/MP_0003620>	"oliguria"
<http://purl.obolibrary.org/obo/HP_0011037>	"Decreased urine output"	<http://purl.obolibrary.org/obo/MP_0003620>	"oliguria"
<http://purl.obolibrary.org/obo/HP_0005156>	"Hypoplastic left atrium"	<http://purl.obolibrary.org/obo/MP_0010647>	"left atrium hypoplasia"
<http://purl.obolibrary.org/obo/HP_0002164>	"Nail dysplasia"	<http://purl.obolibrary.org/obo/HP_0008404>	"Nail dystrophy"
<http://purl.obolibrary.org/obo/MP_0002133>	"abnormal respiratory system physiology"	<http://purl.obolibrary.org/obo/MP_0002327>	"abnormal respiratory function"
<http://purl.obolibrary.org/obo/MP_0001943>	"abnormal respiration"	<http://purl.obolibrary.org/obo/MP_0002327>	"abnormal respiratory function"
<http://purl.obolibrary.org/obo/HP_0002795>	"Functional respiratory abnormality"	<http://purl.obolibrary.org/obo/MP_0002327>	"abnormal respiratory function"
<http://purl.obolibrary.org/obo/HP_0003761>	"Calcinosis"	<http://purl.obolibrary.org/obo/MP_0003195>	"calcinosis"
<http://purl.obolibrary.org/obo/HP_0011002>	"Osteopetrosis"	<http://purl.obolibrary.org/obo/MP_0000067>	"osteopetrosis"
<http://purl.obolibrary.org/obo/HP_0003259>	"Elevated serum creatinine"	<http://purl.obolibrary.org/obo/MP_0005553>	"increased circulating creatinine level"
<http://purl.obolibrary.org/obo/MP_0004119>	"hypokalemia"	<http://purl.obolibrary.org/obo/MP_0005628>	"decreased circulating potassium level"
<http://purl.obolibrary.org/obo/HP_0002900>	"Hypokalemia"	<http://purl.obolibrary.org/obo/MP_0005628>	"decreased circulating potassium level"
<http://purl.obolibrary.org/obo/HP_0005207>	"Gastric hypertrophy"	<http://purl.obolibrary.org/obo/MP_0003285>	"gastric hypertrophy"
<http://purl.obolibrary.org/obo/HP_0000490>	"Deeply set eye"	<http://purl.obolibrary.org/obo/MP_0006198>	"enophthalmos"
